Date,Price,Open,High,Low,Volume,Change(%)
3-Mar-21,1343.55,1319.2,1347,1308,9056399,2.99%
2-Mar-21,1304.5,1282.25,1310,1279.2,10461434,2.96%
1-Mar-21,1267,1263.3,1284.5,1259,5756286,1.09%
26-Feb-21,1253.3,1269,1274.3,1244.75,15132388,-1.67%
25-Feb-21,1274.55,1288.45,1299.75,1272,8788221,0.02%
24-Feb-21,1274.3,1260.05,1276.6,1252,4537258,0.63%
23-Feb-21,1266.35,1271.15,1291,1257.55,6612942,0.09%
22-Feb-21,1265.2,1295,1308.55,1260,7371303,-2.02%
19-Feb-21,1291.3,1296.1,1299.5,1276.8,5389696,-0.09%
18-Feb-21,1292.45,1276,1306,1275,6437551,0.87%
17-Feb-21,1281.3,1290.4,1294.5,1275,4575741,-0.71%
16-Feb-21,1290.4,1314,1319.75,1286,6896421,-1.47%
15-Feb-21,1309.65,1320,1328.4,1307.1,4363513,-0.01%
12-Feb-21,1309.8,1305,1323.75,1301.55,5797875,1.33%
11-Feb-21,1292.65,1289,1296,1283.05,4673317,-0.30%
10-Feb-21,1296.5,1295.8,1304.35,1283.6,5951207,-0.69%
9-Feb-21,1305.55,1306.9,1332,1297.85,7965949,0.15%
8-Feb-21,1303.55,1285.5,1310,1275.5,6921922,2.47%
5-Feb-21,1272.1,1286.4,1288.75,1262,5477481,-0.57%
4-Feb-21,1279.35,1285,1293.4,1272.05,5032240,-0.41%
3-Feb-21,1284.65,1277.65,1304,1273,8182968,1.05%
2-Feb-21,1271.25,1280,1294.4,1263.6,6892490,0.82%
1-Feb-21,1260.9,1250.55,1277.95,1241,8880279,1.76%
29-Jan-21,1239.05,1286.25,1291.15,1231,12183519,-2.91%
28-Jan-21,1276.2,1291.8,1296.45,1272.55,4660690,-1.91%
27-Jan-21,1301,1319.6,1327.55,1285.1,8133665,-1.82%
25-Jan-21,1325.1,1345,1347.9,1313,6542611,-1.17%
22-Jan-21,1340.85,1327,1356,1326.55,9646591,0.09%
