Date,Price,Open,High,Low,Volume,Change(%)
23-Oct-18,170.65,170,175.7,169.55,15588511,-0.06%
22-Oct-18,170.75,176.4,176.85,170.05,11721075,-2.26%
19-Oct-18,174.7,178.95,179.75,174,10469358,-2.92%
17-Oct-18,179.95,187.6,187.8,179.1,12004524,-3.17%
16-Oct-18,185.85,185.2,187.25,184.55,9695745,0.81%
15-Oct-18,184.35,186.5,186.5,182.7,11658409,0.33%
12-Oct-18,183.75,185.95,188.4,182.6,18014894,0.44%
11-Oct-18,182.95,180.65,187.75,178,19323517,-3.07%
10-Oct-18,188.75,186,190.95,185.05,35670907,2.39%
9-Oct-18,184.35,205.7,206,170.3,142760251,-13.19%
8-Oct-18,212.35,217.8,218.5,208.1,11854170,-1.80%
5-Oct-18,216.25,222.75,226.45,214.75,10471026,-3.14%
4-Oct-18,223.25,224,230.8,221.75,13898979,-1.91%
3-Oct-18,227.6,230,232.8,225.8,9094685,-0.76%
1-Oct-18,229.35,225,230.45,220,9743094,2.53%
28-Sep-18,223.7,227.9,230.7,219.5,14196824,-0.69%
27-Sep-18,225.25,234.8,236.55,223.1,17430781,-3.47%
26-Sep-18,233.35,242.3,243.2,229.55,17810869,-3.09%
25-Sep-18,240.8,241,243.5,235.45,9030367,0.25%
24-Sep-18,240.2,250.2,251,239.35,8889259,-4.05%
21-Sep-18,250.35,255.05,257.7,228.85,18547453,-0.89%
19-Sep-18,252.6,253.55,255,251,7845650,0.44%
18-Sep-18,251.5,257.75,259.8,250.6,11554420,-3.36%
17-Sep-18,260.25,263.35,264.1,259.65,9461420,-2.38%
14-Sep-18,266.6,265,269.6,263.4,10710620,1.60%
12-Sep-18,262.4,268.2,268.2,258.85,14456273,-1.83%
11-Sep-18,267.3,277.25,278.85,265.7,13444031,-3.05%
10-Sep-18,275.7,276,282,271.75,21322969,-0.61%
7-Sep-18,277.4,269.55,279.9,269.25,26189156,2.76%
6-Sep-18,269.95,269.7,272,263.85,14736214,1.29%
5-Sep-18,266.5,261,271,255.4,10084307,1.74%
4-Sep-18,261.95,270.5,270.8,260.35,14775900,-1.74%
3-Sep-18,266.6,271.4,273,265.25,14597832,-0.34%
31-Aug-18,267.5,259.1,268.25,258.1,12360078,3.14%
30-Aug-18,259.35,262.3,263,259,6333570,-0.90%
29-Aug-18,261.7,261.05,263.5,261,5117552,0.65%
28-Aug-18,260,261.7,263.25,259.05,8506857,0.46%
27-Aug-18,258.8,257,259.5,256.5,6127707,1.29%
24-Aug-18,255.5,257,258.65,255,8703468,-0.54%
23-Aug-18,256.9,269.2,269.2,256,18667622,-4.43%
21-Aug-18,268.8,271.85,274.7,266.7,19505584,-0.48%
20-Aug-18,270.1,261.85,271.85,259.2,25576718,4.59%
17-Aug-18,258.25,253.7,260.1,253,16117660,2.77%
16-Aug-18,251.3,245.8,252.8,245.25,14148347,1.00%
14-Aug-18,248.8,248.6,249.85,247.2,9171033,0.04%
13-Aug-18,248.7,249.25,249.7,243.1,13877900,-0.56%
10-Aug-18,250.1,257.25,258.65,249.55,14606037,-3.01%
9-Aug-18,257.85,256.65,260.4,255.5,7777719,1.06%
8-Aug-18,255.15,253.5,258.25,251.85,16125867,1.41%
7-Aug-18,251.6,255.2,256,250.55,14490829,-0.96%
6-Aug-18,254.05,259.95,261.8,252.5,11371744,-1.70%
3-Aug-18,258.45,262.15,263.85,257.6,9044248,-0.92%
2-Aug-18,260.85,263.45,266.45,258.7,17421472,-1.58%
1-Aug-18,265.05,250,268,250,53282545,0.36%
31-Jul-18,264.1,268.95,270.45,262.2,10026055,-1.27%
30-Jul-18,267.5,267.75,271.65,266.2,7801098,-0.24%
27-Jul-18,268.15,259.1,269.7,258.55,15275469,3.83%
26-Jul-18,258.25,260.1,263,257.5,8817721,0.16%
25-Jul-18,257.85,260,261.7,256.1,6721386,-0.37%
24-Jul-18,258.8,258.75,263.75,257.1,9906160,0.02%
23-Jul-18,258.75,254.95,259.5,251.1,8891743,2.11%
